Time,Visitor Arrival,Avg. length of stay,Per day spending,Per trip spending,Total flights,International flight,Hotel Occupancy,Hotel rate,Hotel revPar,Hotel supply (thousands),Hotel Demand
Jan-18,796482.8547,10.09921679,209.828457,2119.103075,4564,1364,0.822972928,295.0253439,242.8,1672.264,1376.228
Feb-18,778570.9394,9.097466797,201.5988757,1834.039078,4087,1232,0.860497527,293.5109904,252.57,1510.432,1299.723
Mar-18,903550.1416,8.635985157,197.5399943,1705.952459,4736,1314,0.823160233,288.0279117,237.09,1674.465,1378.353
Apr-18,803004.7753,8.507873486,207.6187701,1766.394229,4362,1264,0.808952965,268.6121076,217.29,1644.93,1330.671
May-18,804135.0644,8.534004286,207.3968001,1769.925181,4344,1119,0.799767022,252.6066586,202.03,1699.73,1359.388
Jun-18,897099.3769,9.096645159,195.7160432,1780.359397,4728,1132,0.825197214,274.4286027,226.46,1647.96,1359.892
Jul-18,939359.6993,9.071478208,195.1222723,1770.047441,5012,1228,0.841417276,293.1949126,246.7,1702.985,1432.921
Aug-18,845072.069,8.6558808,193.0513214,1671.029227,4782,1231,0.787774656,280.1270969,220.68,1704.721,1342.936
Sep-18,716054.6101,8.645657677,207.3592554,1792.757138,4014,1131,0.772857099,239.5165328,185.11,1637.85,1265.824
Oct-18,763673.1271,8.520131226,201.8276416,1719.597991,4205,1185,0.770946184,249.0549415,192.01,1674.589,1291.018
Nov-18,778482.5716,8.6523721,190.7199455,1650.179935,4233,1247,0.76140195,248.8771475,189.5,1620.6,1233.928
Dec-18,900187.1886,9.323095598,189.1733506,1763.681232,5039,1394,0.761180206,329.6053522,250.89,1674.589,1274.664
Jan-19,820620.7039,9.960804621,198.7208753,1979.419813,4939,1406,0.794889039,298.8544087,237.56,1647.557,1309.625
Feb-19,782583.8201,8.881916506,199.7841049,1774.465739,4434,1263,0.83445896,289.9168866,241.92,1488.06,1241.725
Mar-19,939064.2975,8.368370422,191.6882317,1604.118128,5271,1354,0.796178108,284.9027043,226.83,1647.247,1311.502
Apr-19,856249.8615,8.246213404,188.4614793,1554.093577,4851,1302,0.783874154,274.7977967,215.41,1619.76,1269.688
May-19,841376.028,8.334763382,198.643092,1655.643169,4885,1175,0.791852676,256.0050987,202.72,1673.752,1325.365
Jun-19,951627.8229,8.798187708,196.169399,1725.935195,5100,1167,0.841250424,280.4268972,235.91,1621.05,1363.709
Jul-19,997872.0276,8.985445982,189.8714972,1706.080082,5395,1246,0.851655882,304.7263132,259.52,1675.24,1426.728
Aug-19,928177.7796,8.478446749,190.8089339,1617.763385,5190,1284,0.843039559,289.7517743,244.27,1673.256,1410.621
Sep-19,741303.9249,8.434934292,199.103545,1679.425319,4509,1213,0.781840796,247.1689219,193.25,1620.06,1266.629
Oct-19,800447.9079,8.402317925,197.0225793,1655.446349,4591,1202,0.790640871,253.2893465,200.26,1666.715,1317.773
Nov-19,811381.6385,8.310191347,196.9363817,1636.579015,4738,1290,0.788363557,259.777798,204.8,1612.95,1271.591
Dec-19,954289.4096,9.267493725,198.3376891,1838.093289,5409,1458,0.80188828,352.1198801,282.36,1661.724,1332.517
Jan-20,862574.3102,9.682689812,205.1005464,1985.924971,5389,1360,0.834914646,314.7716731,262.81,1680.882,1403.393
Feb-20,828056.0827,8.75724928,201.1555832,1761.569586,4969,1206,0.845274322,310.0069949,262.04,1518.216,1283.309
Mar-20,434855.9568,9.107781258,181.8531359,1656.278583,4200,788,0.438889712,280.7114045,123.2,1680.789,737.681
Apr-20,4564.209529,27.02651885,N/A,N/A,404,32,0.087767841,125.8453517,11.05,929.19,81.553
May-20,9115.618485,28.30533243,N/A,N/A,408,31,0.152542789,119.9789029,18.3,814.401,124.231
Jun-20,17068.21966,26.75733793,N/A,N/A,479,35,0.201127275,141.1075033,28.38,800.16,160.934
